Symbol,Company,Sector,Quantity,AvgPrice,CurrentPrice,PE,ROE,ROCE,DebtEquity,RevenueGrowth,ProfitGrowth,Volatility
RELIANCE,Reliance Industries,Energy,41,1128.15,1219,6.4,22.27,10.65,0.49,12.47,15.3,26.95
TCS,Tata Consultancy Services,IT,24,2121.02,2075,21.04,29.6,31.8,0.29,7.34,10.38,19.06
HDFCBANK,HDFC Bank,Banking,68,834.08,737,21.79,13.4,7.87,1.54,19.28,19.87,30.95
ICICIBANK,ICICI Bank,Banking,37,1084.65,1334,16.73,18.07,14.76,2.03,19.86,18.26,19.48
INFY,Infosys,IT,49,982.53,1014,54.06,34.68,32.74,0.31,17.78,17.51,21.3
BHARTIARTL,Bharti Airtel,Telecom,26,1709.94,1900,16.24,11.82,17.56,0.36,7.12,9.66,21.65
SBIN,State Bank of India,Banking,59,787.93,850,17.3,16.48,13.31,2.65,11.74,23.92,23.92
LICI,Life Insurance Corporation of India,Insurance,54,1069.23,920,24.58,15.57,14.22,3.59,21.85,18.88,20.61
ITC,ITC,FMCG,122,348.6,410,47.16,19.06,43.34,0.04,11.1,11.55,19.21
HINDUNILVR,Hindustan Unilever,FMCG,26,1636.05,1950,31.01,20.36,23.15,0.23,18.89,14.8,25.18
LT,Larsen & Toubro,Infrastructure,14,3496.69,3650,22.09,27.96,22.19,0.91,11.59,9.39,27.35
BAJFINANCE,Bajaj Finance,Finance,51,1191.16,980,10.94,10.64,10.58,4.95,19.09,15.18,19.75
MARUTI,Maruti Suzuki India,Automobile,4,11376.59,14200,29.29,22.27,22.74,0.87,6.16,19.41,33.54
HCLTECH,HCL Technologies,IT,34,1601.49,1450,42.43,35.02,23.64,0.25,12.9,23.21,17.56
SUNPHARMA,Sun Pharmaceutical Industries,Pharma,30,1625.17,1650,26.25,28.62,20.43,0.48,10.88,17.86,28.78
KOTAKBANK,Kotak Mahindra Bank,Banking,24,1844.73,2100,20.79,10.19,17.15,4.42,8.01,13.51,30.46
M&M,Mahindra & Mahindra,Automobile,15,2766.14,3300,37.45,11.54,21.72,0.15,18.29,23.94,22.92
AXISBANK,Axis Bank,Banking,41,1501.48,1220,25.21,12.65,16.47,2.21,14.65,17.35,30.25
NTPC,NTPC,Power,152,337.12,330,9.39,23.92,21.35,1.15,1.22,4.35,31.71
ONGC,Oil & Natural Gas Corporation,Energy,211,240.39,237,14.28,11.68,13.18,0.49,4.1,12.65,24.18
TITAN,Titan Company,Consumer,10,5938.28,4830,42.09,19.71,35.4,0.5,18.18,8.2,19.21
ULTRACEMCO,UltraTech Cement,Cement,4,13966.3,12300,18.57,24.53,15.81,0.61,12.62,20.69,32.97
ADANIENT,Adani Enterprises,Conglomerate,20,3028.26,2500,56.55,21.73,7.77,0.64,28.77,30.2,41.74
ADANIPORTS,Adani Ports and SEZ,Infrastructure,37,1392.86,1350,24.16,17.59,17.57,0.32,8.66,13.97,31.79
ASIANPAINT,Asian Paints,Consumer,20,2730.08,2450,52.31,37.98,40.24,0.48,14.15,7.86,22.2
BAJAJFINSV,Bajaj Finserv,Finance,24,1659.34,2050,28.53,14.01,6.7,2.41,14.8,11.63,31.58
