Symbol,Company,Sector,Quantity,AvgPrice,CurrentPrice,PE,ROE,ROCE,DebtEquity,RevenueGrowth,ProfitGrowth,Volatility
TCS,Tata Consultancy Services,IT,20,1867.50,2075.0,14.0,65.2,76.7,0.11,6,8,N/A
INFY,Infosys,IT,35,963.30,1014.0,13.4,35.7,45.6,0.1,10,9,N/A
RELIANCE,Reliance Industries,Energy,35,1316.52,1219.0,22.5,8.91,10.3,0.45,6,5,N/A
HDFCBANK,HDFC Bank,Banking,55,678.27,737.25,14.38,13.64,7.02,N/A,27,18,N/A
ICICIBANK,ICICI Bank,Banking,30,1387.36,1334.0,17.1,15.9,7.18,N/A,17,17,N/A
SBIN,State Bank of India,Banking,40,860.64,978.0,10.7,15.4,6.13,N/A,14,14,N/A
BAJFINANCE,Bajaj Finance,NBFC,35,952.54,982.0,31.7,18.2,10.9,N/A,26,19,N/A
HINDUNILVR,Hindustan Unilever,FMCG,18,2127.40,1934.0,42.0,31.0,28.1,0.03,2,15,N/A
ITC,ITC,FMCG,120,232.20,270.0,17.1,29.3,38.9,0.0,3,3,N/A
NESTLEIND,Nestle India,FMCG,25,1303.78,1387.0,72.2,74.2,85.3,0.12,19,25,N/A
SUNPHARMA,Sun Pharmaceutical Industries,Pharma,20,1947.22,1837.0,34.9,16.0,20.5,0.05,10,13,N/A
MARUTI,Maruti Suzuki India,Automobile,3,11020.10,12110.0,27.2,14.3,19.0,0.01,16,29,N/A
M&M,Mahindra & Mahindra,Automobile,12,2846.40,2965.0,22.6,23.1,30.1,0.18,18,23,N/A
LT,Larsen & Toubro,Infrastructure,9,4001.55,3885.0,30.4,15.9,14.6,1.35,12,10,N/A
BHARTIARTL,Bharti Airtel,Telecom,18,1598.44,1796.0,65.1,10.7,12.7,1.85,13,235,N/A
ASIANPAINT,Asian Paints,Consumer,14,2566.93,2399.0,48.6,22.0,27.8,0.13,1,2,N/A
TITAN,Titan Company,Consumer,7,4493.76,4832.0,73.6,37.7,20.5,1.75,29,17,N/A
NTPC,NTPC,Power,100,283.62,326.0,13.3,13.9,8.5,1.45,0,11,N/A
ULTRACEMCO,UltraTech Cement,Cement,3,11712.75,11155.0,38.1,11.1,12.7,0.28,12,17,N/A
TATASTEEL,Tata Steel,Metals,180,169.20,188.0,19.8,11.7,12.5,0.9,-2,10,N/A
